Run ID,Backbone,Model,Config,Trainable params,Epochs,Test acc.,Adapter time,Seeds,run_name
000,Tiny,Linear base,"head only, wd=0.05",77.7K,30,78.55\% $\pm$ 0.38,1h 13m,7,000_lin_lr1e3_wd0p05
B000,Base,Linear base,"head only, wd=0.05",103.5K,30,79.52\%,2h 11m,1,000_lin_lr1e3_wd0p05
116,Tiny,"Quad, atrous","last stage, $r=2$, lr=$1{\times}10^{-4}$, wd=0, head",160.6K,16,79.32\% $\pm$ 0.02,38m,3,116_q_ls_r2_h1_lr1em4_wd0p0_k3d3
112,Tiny,"Quad, atrous","all, $r=1$, lr=$1{\times}10^{-4}$, wd=0, head",196.9K,16,80.35\% $\pm$ 0.03,55m,3,112_q_all_r1_h1_lr1em4_wd0p0_k3d3
110,Tiny,"Quad, atrous","all, $r=2$, lr=$3{\times}10^{-4}$, wd=0, head",316.1K,16,80.81\% $\pm$ 0.06,1h 19m,3,110_q_all_r2_h1_lr3em4_wd0p0_k3d3
115,Tiny,"Quad, atrous","all, $r=2$, lr=$1{\times}10^{-4}$, wd=0, head",316.1K,16,80.51\% $\pm$ 0.08,1h 19m,3,115_q_all_r2_h1_lr1em4_wd0p0_k3d3_a2p0
113,Tiny,"Quad, atrous","all, $r=2$, lr=$1{\times}10^{-4}$, wd=0.05, head",316.1K,16,80.39\% $\pm$ 0.11,1h 19m,3,113_q_all_r2_h1_lr1em4_wd0p05_k3d3
109,Tiny,"Quad, atrous","all, $r=2$, lr=$1{\times}10^{-4}$, wd=0, head",316.1K,16,80.32\% $\pm$ 0.11,1h 19m,3,109_q_all_r2_h1_lr1em4_wd0p0_k3d3
114,Tiny,"Quad, atrous","all, $r=2$, lr=$1{\times}10^{-4}$, wd=0, head",316.1K,16,80.26\% $\pm$ 0.09,1h 19m,3,114_q_all_r2_h1_lr1em4_wd0p0_k3d3_a0p5
111,Tiny,"Quad, atrous","all, $r=2$, lr=3e-05, wd=0, head",316.1K,16,80.04\% $\pm$ 0.04,1h 19m,3,111_q_all_r2_h1_lr3em5_wd0p0_k3d3
B103,Base,"Quad, atrous","all, $r=1$, lr=$1{\times}10^{-4}$, wd=0, head",428.4K,16,83.81\%,2h 55m,1,103_q_all_r1_h1_lr1em4_wd0p0_k3d3
118,Tiny,"Quad, atrous","all, $r=4$, lr=$3{\times}10^{-4}$, wd=0, head",554.6K,16,80.89\% $\pm$ 0.04,1h 30m,2,118_q_all_r4_h1_lr3em4_wd0p0_k3d3
117,Tiny,"Quad, atrous","all, $r=4$, lr=$1{\times}10^{-4}$, wd=0, head",554.6K,16,80.33\% $\pm$ 0.02,1h 29m,2,117_q_all_r4_h1_lr1em4_wd0p0_k3d3
B102,Base,"Quad, atrous","all, $r=2$, lr=$3{\times}10^{-4}$, wd=0, head",753.3K,16,84.70\%,3h 45m,1,102_q_all_r2_h1_lr3em4_wd0p0_k3d3
120,Tiny,"Quad, atrous","all, $r=8$, lr=$3{\times}10^{-4}$, wd=0, head",1.0M,16,80.88\% $\pm$ 0.05,3h 44m,2,120_q_all_r8_h1_lr3em4_wd0p0_k3d3
