sweep,seed,dataset,run_name,grid_id,method,stage,scope,rank,train_head,lr,weight_decay,epochs_completed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_train_acc,best_train_acc_epoch,best_test_acc,best_test_acc_epoch,best_test_loss,best_test_loss_epoch,best_minus_final_test_acc,final_generalization_gap,trainable_params,total_params,trainable_pct,training_time_sec,training_time_min,training_time_hr,base_checkpoint,metrics_path
food101_l40s_8q8l2f_multiseed_28650685,21,food101,000_lin_lr1e3_wd0p05,000,Linear frozen-head baseline,linear_base,none,none,head_only,0.001,0.05,30,0.7390134285054978,0.8006468646864686,0.7682330222672755,0.7841188118811881,0.800937293729373,28,0.7880792079207921,12,0.7644929424559715,29,0.003960396039603964,0.01652805280528047,77669,27897797,0.2784054956023947,4394.261214971542,73.23768691619237,1.2206281152698728,,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,000_lin_lr1e3_wd0p05,000,Linear frozen-head baseline,linear_base,none,none,head_only,0.001,0.05,30,0.7390134285054978,0.8006468646864686,0.7682330222672755,0.7841188118811881,0.800937293729373,28,0.7880792079207921,12,0.7644929424559715,29,0.003960396039603964,0.01652805280528047,77669,27897797,0.2784054956023947,5115.216003417969,85.25360005696615,1.4208933342827692,,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,109_q_all_r2_h1_lr1em4_wd0p0_k3d3,109,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.0,16,0.5884624415923266,0.8383234323432344,0.7046338540941182,0.802930693069307,0.8388778877887789,15,0.802930693069307,16,0.7046338540941182,16,0.0,0.03539273927392739,316133,28136261,1.1235785735709518,4705.268321275711,78.42113868792852,1.307018978132142,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/109_q_all_r2_h1_lr1em4_wd0p0_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,110_q_all_r2_h1_lr3em4_wd0p0_k3d3,110,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0003,0.0,16,0.5093202388388882,0.8587590759075907,0.696315187288983,0.8073663366336634,0.8587590759075907,16,0.8076435643564357,12,0.696315187288983,16,0.0002772277227722775,0.05139273927392729,316133,28136261,1.1235785735709518,4716.726411342621,78.61210685571035,1.3102017809285058,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/110_q_all_r2_h1_lr3em4_wd0p0_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,111_q_all_r2_h1_lr3em5_wd0p0_k3d3,111,Quadratic depthwise adapter,quad_dw,all,2,yes,3e-05,0.0,16,0.6310054025539864,0.8279207920792079,0.7136133069189469,0.8000396039603961,0.8292145214521452,15,0.8000396039603961,15,0.7136133069189469,16,0.0,0.027881188118811795,316133,28136261,1.1235785735709518,4711.521970033646,78.52536616722743,1.3087561027871237,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/111_q_all_r2_h1_lr3em5_wd0p0_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,112_q_all_r1_h1_lr1em4_wd0p0_k3d3,112,Quadratic depthwise adapter,quad_dw,all,1,yes,0.0001,0.0,16,0.5906094440265064,0.838957095709571,0.7050256300657103,0.8033663366336634,0.838957095709571,16,0.8033663366336634,16,0.7050256300657103,16,0.0,0.035590759075907585,196901,28017029,0.7027904350600487,3287.145007133484,54.7857501188914,0.9130958353148566,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/112_q_all_r1_h1_lr1em4_wd0p0_k3d3/food101/quad_dw/all_rank_1/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,113_q_all_r2_h1_lr1em4_wd0p05_k3d3,113,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.05,16,0.5923884778321773,0.8378613861386138,0.7000007158930939,0.802970297029703,0.8385874587458746,15,0.8034851485148515,15,0.7000007158930939,16,0.0005148514851485153,0.03489108910891081,316133,28136261,1.1235785735709518,4706.3842215538025,78.4397370258967,1.307328950431612,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/113_q_all_r2_h1_lr1em4_wd0p05_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,114_q_all_r2_h1_lr1em4_wd0p0_k3d3_a0p5,114,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.0,16,0.5994858100060189,0.8356699669966997,0.7075846969939694,0.8018613861386139,0.8362904290429043,15,0.8024554455445545,13,0.7075846969939694,16,0.0005940594059405946,0.0338085808580858,316133,28136261,1.1235785735709518,4780.733952760696,79.67889921267827,1.3279816535446378,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/114_q_all_r2_h1_lr1em4_wd0p0_k3d3_a0p5/food101/quad_dw/all_rank_2/alpha_0p5/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,115_q_all_r2_h1_lr1em4_wd0p0_k3d3_a2p0,115,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.0,16,0.5749355700149787,0.8422046204620462,0.7008258784690706,0.8047920792079208,0.8422046204620462,16,0.8047920792079208,16,0.7008258784690706,16,0.0,0.03741254125412541,316133,28136261,1.1235785735709518,4714.606884241104,78.5767814040184,1.3096130234003067,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/115_q_all_r2_h1_lr1em4_wd0p0_k3d3_a2p0/food101/quad_dw/all_rank_2/alpha_2p0/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,116_q_ls_r2_h1_lr1em4_wd0p0_k3d3,116,Quadratic depthwise adapter,quad_dw,last_stage,2,yes,0.0001,0.0,16,0.6405787568831994,0.8261518151815181,0.7476297496073316,0.7925148514851486,0.8263498349834983,15,0.7931089108910891,9,0.7442993529220618,6,0.0005940594059405946,0.03363696369636959,160613,27980741,0.5740126753612422,2340.432697057724,39.007211617628734,0.6501201936271456,outputs/food101_l40s_8q8l2f_multiseed_28650685/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/116_q_ls_r2_h1_lr1em4_wd0p0_k3d3/food101/quad_dw/last_stage_rank_2/quad_k3_d3/metrics.json
