method,stage,scope,rank,train_head,lr,weight_decay,n_seeds,seeds,best_test_acc_mean,best_test_acc_std,final_test_acc_mean,final_test_acc_std,best_test_loss_mean,final_test_loss_mean,training_time_hr_mean,trainable_params_mean,trainable_pct_mean,run_names
Linear frozen-head baseline,linear_base,none,none,head_only,0.001,0.05,3,"21,102,420",0.7887722772277228,0.003222093128543472,0.7852673267326734,0.003322486682164642,0.7617943927993869,0.7675078996654365,1.466748257422889,81978.33333333333,0.25168539275359,000_lin_lr1e3_wd0p05
Quadratic depthwise adapter,quad_dw,all,2,yes,0.0003,0.0,3,"21,102,420",0.8177920792079209,0.019457690143362974,0.8171881188118812,0.01851701510451608,0.6629448797248066,0.6648987884087765,1.9350841872725222,425413.0,1.0559016084006203,"102_q_all_r2_h1_lr3em4_wd0p0_k3d3,110_q_all_r2_h1_lr3em4_wd0p0_k3d3"
Quadratic depthwise adapter,quad_dw,all,1,yes,0.0001,0.0,3,"21,102,420",0.8121782178217822,0.017308380662916817,0.8121782178217822,0.017308380662916817,0.6732910657176543,0.673309844345116,1.4226579700244797,254773.0,0.6488013653160631,"103_q_all_r1_h1_lr1em4_wd0p0_k3d3,112_q_all_r1_h1_lr1em4_wd0p0_k3d3"
Quadratic depthwise adapter,quad_dw,all,4,yes,0.0003,0.0,2,"21,102",0.808910891089109,0.00044806766332612956,0.8087524752475248,0.0006721014949891943,0.6952155512417897,0.6966449940369861,1.5016638369692696,554597.0,1.9545458149814667,118_q_all_r4_h1_lr3em4_wd0p0_k3d3
Quadratic depthwise adapter,quad_dw,all,8,yes,0.0003,0.0,2,"21,102",0.8088118811881189,0.00047607189228401263,0.8075445544554456,0.0009241395556101421,0.6956746574722894,0.6974410347407407,3.7385104230708546,1031525.0,3.5752717530603877,120_q_all_r8_h1_lr3em4_wd0p0_k3d3
Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.0,3,"21,102,420",0.8078059405940594,0.013213953690865667,0.8074772277227723,0.01313843504047866,0.6891461802511288,0.6894494377834077,1.9387626891798444,648613.0,1.4104134483559656,"101_q_all_r2_h1_lr1em4_wd0p0,109_q_all_r2_h1_lr1em4_wd0p0_k3d3,114_q_all_r2_h1_lr1em4_wd0p0_k3d3_a0p5,115_q_all_r2_h1_lr1em4_wd0p0_k3d3_a2p0"
Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.05,3,"21,102,420",0.8038679867986799,0.0011384560085729743,0.8034323432343236,0.0015381095970602207,0.6997635055091909,0.6997635055091909,1.3258752371425981,316133.0,1.1235785735709518,113_q_all_r2_h1_lr1em4_wd0p05_k3d3
Quadratic depthwise adapter,quad_dw,all,8,yes,0.0001,0.0,2,"21,102",0.8034455445544555,0.00044806766332612956,0.8034455445544555,0.00044806766332612956,0.7038023059580586,0.7038023059580586,3.735596865514914,1031525.0,3.5752717530603877,119_q_all_r8_h1_lr1em4_wd0p0_k3d3
Quadratic depthwise adapter,quad_dw,all,4,yes,0.0001,0.0,2,"21,102",0.8033267326732674,0.00022403383166306478,0.8031089108910892,0.00014002114478941548,0.7038398274549164,0.7038398274549164,1.49916026102172,554597.0,1.9545458149814667,117_q_all_r4_h1_lr1em4_wd0p0_k3d3
Quadratic depthwise adapter,quad_dw,all,2,yes,3e-05,0.0,3,"21,102,420",0.8003828382838284,0.0004344417867169621,0.8002772277227722,0.00025970053561592105,0.7132341017707345,0.7132341017707345,1.3272774688844329,316133.0,1.1235785735709518,111_q_all_r2_h1_lr3em5_wd0p0_k3d3
Quadratic depthwise adapter,quad_dw,last_stage,2,yes,0.0001,0.0,3,"21,102,420",0.7931881188118813,0.000209564460282344,0.7926336633663368,0.0003520076996956672,0.7440828103373939,0.7478300635979908,0.6464001559107392,160613.0,0.5740126753612422,116_q_ls_r2_h1_lr1em4_wd0p0_k3d3
LoRA depthwise adapter,lora_dw,all,2,yes,0.0001,0.05,3,"21,102,420",0.8236930693069306,0.01750134738839016,0.8233366336633663,0.01758773712579753,0.6331661617642926,0.6335003844581006,2.3403233831127483,1032133.0,2.476646975081035,"203_l_all_r2_h1_lr1em4_wd0p05,212_l_all_r2_h1_lr1em4_wd0p05"
LoRA depthwise adapter,lora_dw,all,2,yes,0.0001,0.0,3,"21,102,420",0.8231782178217821,0.017106721990523287,0.8227128712871287,0.017421466622095247,0.6406618279241367,0.641728762539749,2.340417721519868,1032133.0,2.476646975081035,"201_l_all_r2_h1_lr1em4_wd0p0,209_l_all_r2_h1_lr1em4_wd0p0"
LoRA depthwise adapter,lora_dw,all,2,yes,0.0003,0.0,3,"21,102,420",0.8226831683168316,0.016727516927697774,0.8172673267326733,0.01605457476785668,0.6419536770565825,0.6955018960983144,2.3410235656632317,1032133.0,2.476646975081035,"202_l_all_r2_h1_lr3em4_wd0p0,210_l_all_r2_h1_lr3em4_wd0p0"
LoRA depthwise adapter,lora_dw,all,4,yes,0.0001,0.0,2,"21,102",0.8153069306930693,0.0010361564714416746,0.815029702970297,0.0012601903031047392,0.6713398973741154,0.675027186268627,1.6739211959640186,1402469.0,4.799262023152836,214_l_all_r4_h1_lr1em4_wd0p0
LoRA depthwise adapter,lora_dw,all,8,yes,0.0001,0.0,2,"21,102",0.8148118811881188,0.0009521437845680253,0.8128316831683168,0.00011201691583153239,0.6718884324850423,0.6858242415732676,2.3546204587486055,2727269.0,8.927991475018313,216_l_all_r8_h1_lr1em4_wd0p0
LoRA depthwise adapter,lora_dw,all,4,yes,0.0003,0.0,2,"21,102",0.8147326732673267,0.0008401268687364929,0.8077029702970298,0.00154023259268357,0.6715739115028098,0.7445651161210372,1.6733413639995787,1402469.0,4.799262023152836,215_l_all_r4_h1_lr3em4_wd0p0
LoRA depthwise adapter,lora_dw,all,8,yes,0.0003,0.0,2,"21,102",0.8131683168316831,0.0007001057239470773,0.8038217821782179,0.000308046518536714,0.6726643916262258,0.7680536264877509,2.3454875465565257,2727269.0,8.927991475018313,217_l_all_r8_h1_lr3em4_wd0p0
LoRA depthwise adapter,lora_dw,all,1,yes,0.0001,0.0,3,"21,102,420",0.8125544554455445,0.0006591412664194555,0.8123960396039603,0.0008009405313328599,0.6759699610947777,0.6759699610947777,1.0261218994635124,408869.0,1.4484007348897305,211_l_all_r1_h1_lr1em4_wd0p0
LoRA depthwise adapter,lora_dw,last_stage,2,yes,0.0001,0.0,3,"21,102,420",0.7955511551155116,0.0006049604877829527,0.7953135313531353,0.00039867112529483827,0.7432343880288279,0.7440601653879625,0.6514163630538516,308069.0,1.0952319482119668,213_l_ls_r2_h1_lr1em4_wd0p0
Full fine-tune,full_finetune,all,full,full,0.0001,0.01,3,"21,102,420",0.8688712871287129,0.005338852811684868,0.8604554455445544,0.002511965288538534,0.472902758943865,0.7569148305485289,2.6219319848219556,42840845.0,100.0,301_f_lr1e4_wd0p01
Full fine-tune,full_finetune,all,full,full,3e-05,0.05,3,"21,102,420",0.8622838283828383,0.0017534911563791339,0.860976897689769,0.0012125108914275869,0.5013997099682836,0.7145671462521953,1.7044221847587162,27897797.0,100.0,302_f_lr3e5_wd0p05
